"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","consent_q","attn_1","attn_2","Present_Capability_1","Present_Trust_1","Present_Why","Absent_Capability_1","Absent_Trust_1","Absent_Why","comp_images","AI_Familiarity_1","Visual_Familiarity_1","gender","gender_5_TEXT","age","education","education_8_TEXT","income"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Distribution Channel","User Language","Do you consent?","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1","Please explain your answers to the questions above:","According to what you read, the image showed annotations from software used in...","How familiar are you with artificial intelligence? - 1","How familiar are you with explainable AI visual annotations? - 1","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who have the most money, most education, and most respected jobs. At the bottom are the people who have the least money, least education, and least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top, and the lower you are, the closer you are to the people at the very bottom. 





Where would you place yourself on this ladder? Please select the rung where you think you stand at this time in your life, relative to other people in the United States."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_8_TEXT""}","{""ImportId"":""QID30""}"
"2023-11-20 08:35:55","2023-11-20 08:37:41","0","100","105","1","2023-11-20 08:37:42","R_3qKdVky2yEGLWpK","anonymous","EN","1","1","2","77","80","I am not well informed, but it seems the AI is correctly identifying objects.","","","","1","61","7","1","","52","4","","9"
"2023-11-20 08:35:46","2023-11-20 08:38:12","0","100","145","1","2023-11-20 08:38:12","R_2aPtVWjvrruxSC0","anonymous","EN","1","1","2","","","","88","93","I trust that the car will see the pedestrian and react accordingly.","1","55","0","2","","58","4","","11"
"2023-11-20 08:35:58","2023-11-20 08:38:16","0","100","137","1","2023-11-20 08:38:17","R_3fw9n97H81ayZxA","anonymous","EN","1","1","2","70","72","I think the software can recognize how the person may be acting at the present moment, but people can very quickly change their intents. ","","","","1","89","70","2","","32","1","","15"
"2023-11-20 08:35:58","2023-11-20 08:39:05","0","100","186","1","2023-11-20 08:39:06","R_3Jlwq2qmzSZ5tXj","anonymous","EN","1","1","2","","","","24","77","I would also assume the pedestrian is going to cross the street, because they are standing in the street, not on the curb.","1","61","42","2","","55","3","","13"
"2023-11-20 08:38:03","2023-11-20 08:39:22","0","100","78","1","2023-11-20 08:39:22","R_1LXwjRY2pGBPxWg","anonymous","EN","1","1","2","41","50","I feel like it will be able to see the pedestrians but won't really be able to tell if they are going to cross randomly.","","","","1","42","21","1","","32","1","","14"
"2023-11-20 08:35:42","2023-11-20 08:39:36","0","100","234","1","2023-11-20 08:39:37","R_2CkN4b5CdvOzSwm","anonymous","EN","1","1","2","10","60","I don't think the car has a good idea of whether the pedestrian by the crosswalk intends to cross the road, but I would expect it to act cautiously around pedestrians either way.","","","","1","40","20","2","","34","4","","14"
"2023-11-20 08:36:01","2023-11-20 08:39:42","0","100","221","1","2023-11-20 08:39:43","R_3HhxFYodbnwMeuK","anonymous","EN","1","1","2","10","55","I do not think AI has progressed enough to determine what a person will do at the spur of the moment. It might take the cautious side and stop at the crosswalk anyway just to be sure. I hope AI is programmed or uses enough data to be on the cautious side. If a person does not know what that man will do -cross the street or not- how can AI determine that? ","","","","1","72","60","2","","66","5","","10"
"2023-11-20 08:37:32","2023-11-20 08:39:55","0","100","142","1","2023-11-20 08:39:55","R_9vsi3WTyNagOTKh","anonymous","EN","1","1","2","","","","18","71","Nothing about the image above suggests that the car is able to interpret the movement or position of people and cars on the road.  It only  knows where people and cars currently are.","1","59","9","1","","33","3","","15"
"2023-11-20 08:37:32","2023-11-20 08:39:58","0","100","145","1","2023-11-20 08:39:58","R_1Nn5c7o5uwm6aSd","anonymous","EN","1","1","2","67","77","i did my best knowledge of my answer for this questions ","","","","1","74","58","2","","33","5","","9"
"2023-11-20 08:37:27","2023-11-20 08:40:16","0","100","168","1","2023-11-20 08:40:16","R_2TFf37VBRZYKK2U","anonymous","EN","1","1","2","","","","10","10","All the AI sees is a box that represents a person on the side of the road.  From that information you do not know which way the person is facing or their intention towards the road.","1","70","29","1","","41","4","","11"
"2023-11-20 08:35:53","2023-11-20 08:40:23","0","100","269","1","2023-11-20 08:40:24","R_2X5y12IrDmqJyTx","anonymous","EN","1","1","2","85","79","The person is facing the sidewalk, which does not necessarily mean that they aren't planning to cross the street, but I think the car could detect on time if the person turns to cross the street judging the distance of the car from the person.","","","","1","78","40","4","","45","1","","15"
"2023-11-20 08:35:50","2023-11-20 08:40:44","0","100","293","1","2023-11-20 08:40:44","R_z8TKvWa7ATylJId","anonymous","EN","1","1","2","","","","20","50","It 'sees' the person but I don't believe it can detect their intentions. People are unpredictable so the car would need to be prepared for the possibility that the person would enter the road. I would not want it ruling out that possibility and striking the pedestrian.","1","69","68","1","","63","3","","12"
"2023-11-20 08:37:46","2023-11-20 08:40:55","0","100","188","1","2023-11-20 08:40:55","R_RrvgTgrqWWC7pfj","anonymous","EN","1","1","2","","","","65","65","The AI is capable of visualizing what it sees in simple terms so I have some confidence it can behave according to the above statements.","1","60","30","1","","27","4","","14"
"2023-11-20 08:35:52","2023-11-20 08:40:56","0","100","304","1","2023-11-20 08:40:57","R_0etUQDOmg6neVP3","anonymous","EN","1","1","2","80","83","I will better than moment.  This is mark is correct the any time moment.","","","","1","71","87","1","","25","5","","9"
"2023-11-20 08:39:30","2023-11-20 08:41:24","0","100","113","1","2023-11-20 08:41:24","R_2ARlOpcgav35Xtp","anonymous","EN","1","1","2","","","","29","40","I don't think it can accurately judge what the pedestrian is going to do just based on those boxes.","1","61","50","2","","36","5","","12"
"2023-11-20 08:38:34","2023-11-20 08:41:30","0","100","176","1","2023-11-20 08:41:31","R_5jyObyf3aHfLlS1","anonymous","EN","1","1","2","","","","82","81","Just following my gut based on the range of the data seen above.","1","67","0","1","","35","3","","12"
"2023-11-20 08:40:00","2023-11-20 08:41:40","0","100","99","1","2023-11-20 08:41:41","R_3fq4ZF2AM41DR0I","anonymous","EN","1","1","2","","","","10","50","The pedestrian on the edge of the sidewalk looks like they are about to cross the street, so I think the AI will misinterpret this","1","57","30","1","","37","6","","11"
"2023-11-20 08:35:57","2023-11-20 08:41:45","0","100","347","1","2023-11-20 08:41:45","R_2QgptByDFS6I1dd","anonymous","EN","1","1","2","","","","20","80","In the first image, the box of the person has crossed the line of the edge of the street, if the person isn't intending to cross the road why are they stood in the immediate crosswalk? I chose disagree because I see that as a potential danger, I think the AI would also see this as a potential danger and stop to wait for that person/box to move before proceeding ahead.","1","90","75","2","","40","2","","13"
"2023-11-20 08:36:06","2023-11-20 08:42:18","0","100","372","1","2023-11-20 08:42:18","R_232xN8x5G2wUEZI","anonymous","EN","1","1","2","","","","51","78","It can does recognize the pedestrian so I believe it monitoring the pedestrian for movement or sign they will advance across the crosswalk.","1","71","51","2","","52","2","","10"
"2023-11-20 08:40:09","2023-11-20 08:42:26","0","100","136","1","2023-11-20 08:42:27","R_Ovc0TwiprKuoQJH","anonymous","EN","1","1","2","73","76","The AI was able to label everything properly, so I think it will be able to detect if the person doesn't intend to cross and will act appropriately.","","","","1","61","34","1","","27","4","","12"
"2023-11-20 08:36:57","2023-11-20 08:42:33","0","100","336","1","2023-11-20 08:42:34","R_DiPj36xij04dKSt","anonymous","EN","1","1","2","41","39","sometime AI detect  wrong thing as a vehicle that is too bad ","","","","1","85","58","1","","23","3","","12"
"2023-11-20 08:41:15","2023-11-20 08:43:50","0","100","155","1","2023-11-20 08:43:51","R_ahZO3hLcj0erXQR","anonymous","EN","1","1","2","","","","8","92","The pedestrian is at the edge of road, which is why I think they will cross.  I trust the car's AI because if it knows what things are, it is making decisions about the minimal loss.","1","82","71","2","","56","5","","13"
