StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,attn_1,attn_2,Present_Capability_1,Present_Trust_1,Present_Why,Absent_Capability_1,Absent_Trust_1,Absent_Why,Baseline_Capability_1,Baseline_Trust_1,Baseline_Why,comp_images,AI_Familiarity_1,Visual_Familiarity_1,gender,gender_5_TEXT,age,education,education_8_TEXT,income
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you consent?,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1",Please explain your answers to the questions above:,"In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1",Please explain your answers to the questions above:,"In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1",Please explain your answers to the questions above:,"According to what you read, the image showed annotations from software used in...",How familiar are you with artificial intelligence? - 1,How familiar are you with explainable AI visual annotations? - 1,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,"Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who have the most money, most education, and most respected jobs. At the bottom are the people who have the least money, least education, and least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top, and the lower you are, the closer you are to the people at the very bottom. 





Where would you place yourself on this ladder? Please select the rung where you think you stand at this time in your life, relative to other people in the United States."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID1215679865_1""}","{""ImportId"":""QID1215679866_1""}","{""ImportId"":""QID1215679867_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_8_TEXT""}","{""ImportId"":""QID30""}"
2024-02-05 14:44:24,2024-02-05 14:47:10,0,100,166,1,2024-02-05 14:47:11,R_1ivh2CskVixWEj7,anonymous,EN,1,1,2,,,,,,,74,67,It looks like they are just standing there with no intention to cross,1,60,64,1,,24,5,,10
2024-02-05 14:44:23,2024-02-05 14:47:17,0,100,173,1,2024-02-05 14:47:17,R_52QCcjrrLFSIEO0,anonymous,EN,1,1,2,,,,22,13,I don't know how it's possible to detect the intention of the pedestrians.    And I definitely do not trust appropriate behavior of the car.,,,,1,50,24,2,,66,5,,11
2024-02-05 14:44:24,2024-02-05 14:47:26,0,100,181,1,2024-02-05 14:47:27,R_6Tr43ezX5cX45nb,anonymous,EN,1,1,2,69,35,I don't really trust the idea of a self driving car,,,,,,,1,65,58,1,,41,3,,11
2024-02-05 14:45:57,2024-02-05 14:47:40,0,100,103,1,2024-02-05 14:47:41,R_5dVLKWGlHq7iIUM,anonymous,EN,1,1,2,,,,8,80,It will think the pedestrian will want to cross the street and thus will behave more cautiously.,,,,1,71,71,1,,41,6,,12
2024-02-05 14:46:58,2024-02-05 14:49:25,0,100,147,1,2024-02-05 14:49:26,R_5el4WdHo4SPvBld,anonymous,EN,1,1,2,,,,,,,20,80,"It's quite possible that it can tell if a person is facing a certain direction (and then likely deduce that that's the direction the person is travelling in.) However, I may be wrong. I don't know enough about AI to know if it can detect that or not. So there's a chance it may wait on the person to get out of the crosswalk before it moves. ",1,20,0,2,,41,4,,11
2024-02-05 14:47:00,2024-02-05 14:49:28,0,100,148,1,2024-02-05 14:49:29,R_5PuRggSZjbRzfuQ,anonymous,EN,1,1,2,,,,41,32,"AI can't 'read' the way the person is standing and looking around, as if considering crossing.",,,,1,26,20,2,,75,4,,15
2024-02-05 14:48:04,2024-02-05 14:50:15,0,100,130,1,2024-02-05 14:50:15,R_6q05DJZVcut6QdH,anonymous,EN,1,1,2,,,,,,,76,76,"The pedestrians are standing still, and facing away from the road. I think the AI can determine that they will likely not walk in front of the vehicle. ",1,70,14,1,,44,2,,12
2024-02-05 14:44:26,2024-02-05 14:50:33,0,100,367,1,2024-02-05 14:50:34,R_7JwxYdeUQ1pZaEh,anonymous,EN,1,1,2,90,90,My answers were informed by what was depicted in the picture. It seems to recognize stationary objects as green and something that may intend to move as yellow.,,,,,,,1,75,65,1,,37,3,,12
2024-02-05 14:49:22,2024-02-05 14:50:43,0,100,81,1,2024-02-05 14:50:44,R_5ftIq6lBmc0gQYF,anonymous,EN,1,1,2,,,,,,,11,0,You cannot anticipate what that pedestrian is going to do. Cross or not.,1,61,40,1,,42,4,,14
2024-02-05 14:47:10,2024-02-05 14:50:55,0,100,225,1,2024-02-05 14:50:56,R_5PT7bwBSmaXAjzl,anonymous,EN,1,1,2,,,,8,50,"sinvce there is no way to be certain what the pedestrian will do, it is a 50 50 chance it giuesses corretly since there are only 2 option for the pedestrian-- either to cross or not",,,,1,61,7,1,,69,5,,12
2024-02-05 14:49:13,2024-02-05 14:51:02,0,100,109,1,2024-02-05 14:51:03,R_51byojqGTkq1kqe,anonymous,EN,1,1,2,88,88,It marked the person near the edge of the street. Which makes me think it understands what a person is and that he is located near the edge.,,,,,,,1,100,100,1,,40,1,,15
2024-02-05 14:47:12,2024-02-05 14:51:08,0,100,236,1,2024-02-05 14:51:09,R_7dGOlo5EqTRqfcZ,anonymous,EN,1,1,2,,,,,,,95,70,"I don't think the AI can always be trusted in every scenario. Though they may not cross the road, a split second decision from the pedestrian may cause the AI to not react. Same could be same for a human, though a human maybe would start braking slightly before approaching, seeing the impending danger to the pedestrian ahead. ",1,70,50,1,,40,4,,12
2024-02-05 14:49:13,2024-02-05 14:51:48,0,100,154,1,2024-02-05 14:51:49,R_5JlqzvMcXDY4YY5,anonymous,EN,1,1,2,69,71,"I think the car might slow down a bit, with a person in the vicinity.",,,,,,,1,41,15,1,,37,5,,10
2024-02-05 14:49:52,2024-02-05 14:52:01,0,100,128,1,2024-02-05 14:52:02,R_3aEy54c3eMRdmJG,anonymous,EN,1,1,2,,,,79,81,"It looks like it has everything identified pretty well. ",,,,1,55,41,1,,32,3,,12
2024-02-05 14:46:53,2024-02-05 14:52:28,0,100,335,1,2024-02-05 14:52:29,R_7P7Tv3u3zUBbGKY,anonymous,EN,1,1,2,25,40,Though the vehicle has recognized a pedestrian I am not sure how it makes the decision that this person will not cross or make a sudden movement to the crosswalk. That is a hard judgement to make for human drivers let alone an AI one.,,,,,,,1,85,65,1,,54,1,,13
2024-02-05 14:50:38,2024-02-05 14:52:30,0,100,111,1,2024-02-05 14:52:30,R_7g7qEqYbcPAvHiy,anonymous,EN,1,1,2,,,,24,66,I would assume the car has been designed to assume a person may be attempting to cross the road,,,,1,78,67,1,,40,3,,14
2024-02-05 14:47:50,2024-02-05 14:52:43,0,100,292,1,2024-02-05 14:52:43,R_6mqvhO2MeanXh6j,anonymous,EN,1,1,2,,,,0,0,"Given the placement of the person on/near the crosswalk and the limited information about them (direction, speed, etc.), I do not have confidence that the vehicle could predict the intention of the pedestrian.",,,,1,100,50,1,,39,3,,12
2024-02-05 14:48:14,2024-02-05 14:59:37,0,100,682,1,2024-02-05 14:59:37,R_6TMHbUUMlUQjTzX,anonymous,EN,1,1,2,91,100,"Certainly! It appears that the AI is adept at accurately labeling various objects, including pedestrians, and can even discern whether the pedestrian is in the process of crossing. To further enhance its capabilities, the integration of motion sensors could be considered. This addition might provide the AI with valuable information about the dynamic aspects of its surroundings, potentially leading to improved performance and more nuanced decision-making, especially in scenarios involving moving entities such as pedestrians.",,,,,,,1,91,50,1,,26,3,,12
2024-02-05 14:56:36,2024-02-05 15:01:21,0,100,285,1,2024-02-05 15:01:22,R_7Pe9e37Law9A0G7,anonymous,EN,1,1,2,100,100,"The programmers will teach the software what to do in most situations. Therefore, the system will act accordingly.",,,,,,,1,100,100,2,,28,5,,9
2024-02-05 15:01:51,2024-02-05 15:04:23,0,100,152,1,2024-02-05 15:04:24,R_1EDYBcZBplrTxbX,anonymous,EN,1,1,2,,,,,,,89,68,In above image it shows central light so does not intend to cross the road.,1,74,75,1,,38,4,,9
2024-02-05 15:03:41,2024-02-05 15:05:23,0,100,102,1,2024-02-05 15:05:24,R_7alF35bPG0UTAvz,anonymous,EN,1,1,2,,,,21,16,"There is nothing to suggest that the car can detect or project movement, which would mean it can't tell if the person is moving into the street.",,,,1,43,23,1,,30,4,,12
