StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,attn_1,attn_2,Present_Capability_1,Present_Trust_1,Present_Why,Absent_Capability_1,Absent_Trust_1,Absent_Why,Disclaimer_Capability_1,Disclaimer_Trust_1,Disclaimer_Why,comp_images,AI_Familiarity_1,Visual_Familiarity_1,gender,gender_5_TEXT,age,education,education_8_TEXT,income
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you consent?,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1",Please explain your answers to the questions above:,"In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1",Please explain your answers to the questions above:,"In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1",Please explain your answers to the questions above:,"According to what you read, the image showed annotations from software used in...",How familiar are you with artificial intelligence? - 1,How familiar are you with explainable AI visual annotations? - 1,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,"Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who have the most money, most education, and most respected jobs. At the bottom are the people who have the least money, least education, and least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top, and the lower you are, the closer you are to the people at the very bottom. 





Where would you place yourself on this ladder? Please select the rung where you think you stand at this time in your life, relative to other people in the United States."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_8_TEXT""}","{""ImportId"":""QID30""}"
3/3/24 15:20,3/3/24 15:23,0,100,164,1,3/3/24 15:23,R_1fkr8lENb4S6REq,anonymous,EN,1,1,2,,,,,,,100,100,The man is facing the other way looking at something in his hand with another person. Even though he is at the crosswalk area it does not look like he intends to cross. I believe that the av would react appropriately since it doesn't seem like a threat.,1,10,0,2,,37,5,,15
3/3/24 15:21,3/3/24 15:26,0,100,317,1,3/3/24 15:26,R_5NEwGAEEgmVirm2,anonymous,EN,1,1,2,,,,25,26,I would have to somewhat disagree as the person is inside the street parameter which could indicate they plan on crossing.,,,,1,50,22,2,,49,4,,11
3/3/24 15:25,3/3/24 15:27,0,100,112,1,3/3/24 15:27,R_1PAkTOkjyvQgS2g,anonymous,EN,1,1,2,85,80,This should be a simple AI task. Based on training data it should be able to recognize the direction of the man's feet and determine he isn't moving in the direction of the sidewalk.,,,,,,,1,80,80,1,,27,4,,9
3/3/24 15:23,3/3/24 15:27,0,100,247,1,3/3/24 15:27,R_6cFmUfIJy3I4zrH,anonymous,EN,1,1,2,70,70,I think (and hope) the AI is most likely to be able to see that the person is turned in such a way that his intent is not to cross the road..,,,,,,,1,90,0,2,,66,4,,12
3/3/24 15:27,3/3/24 15:29,0,100,122,1,3/3/24 15:29,R_3wB6GYQfKoHkr9C,anonymous,EN,1,1,2,,,,,,,37,35,"Hard for a person to tell what the ped is going to do, so i feel like it  would be even harder for the car",1,87,74,2,,28,4,,10
3/3/24 15:27,3/3/24 15:30,0,100,157,1,3/3/24 15:30,R_7OsXrTYMnW9FORr,anonymous,EN,1,1,2,,,,77,77,It seems like the car can detect that the pedestrian is to the side of the crosswalk standing still no movement .,,,,1,80,78,2,,28,3,,12
3/3/24 15:28,3/3/24 15:30,0,100,113,1,3/3/24 15:30,R_6PAk76IY62o9ymx,anonymous,EN,1,1,2,,,,,,,70,64,"The pedestrian is facing the sidewalk closest to them, so it seems like that's the way they are walking.",1,67,66,2,,41,4,,14
3/3/24 15:29,3/3/24 15:31,0,100,133,1,3/3/24 15:31,R_7zVlkgQRinWinYD,anonymous,EN,1,1,2,21,61,Perhaps it sees the way the person is facing which would indicate the intent of the direction.,,,,,,,1,60,58,2,,36,3,,13
