StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ic,att_1,att_2,Present_Auto_10,Present_HandsOff_10,Present_Watch_10,Present_Nap_10,Faded_Auto_10,Faded_HandsOff_10,Faded_Watch_10,Faded_Nap_10,AI_Familiarity_1,Visual_Familiarity_1,license,gender,gender_4_TEXT,age,education,education_8_TEXT,income,workerID,hitID,assignmentId,Present_TimeVehicleStopped,Faded_TimeVehicleStopped
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Informed Consent 



Participation is voluntary 

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 3 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 5 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $0.50 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is [anonymized]. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at anonymized:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass? The fresh, uncut grass, not leaves or hay. 

Please make sure to select purple, so that we know you're paying attention.",You are willing to allow Aeon's Copilot to drive the vehicle autonomously without your direct control.,You are willing to operate Aeon's Copilot completely hands-free while on a highway.,You are willing to watch a video on your smartphone while Aeon's Copilot is driving on a highway.,You are willing to take a nap while Aeon's Copilot is driving on a highway.,You are willing to allow Aeon's Copilot to drive the vehicle autonomously without your direct control.,You are willing to operate Aeon's Copilot completely hands-free while on a highway.,You are willing to watch a video on your smartphone while Aeon's Copilot is driving on a highway.,You are willing to take a nap while Aeon's Copilot is driving on a highway.,How familiar are you with artificial intelligence? - 1,How familiar are you with explainable AI visual annotations? - 1,Do you have a driving license?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,"Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who have the most money, most education, and most respected jobs. At the bottom are the people who have the least money, least education, and least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top, and the lower you are, the closer you are to the people at the very bottom. 





Where would you place yourself on this ladder? Please select the rung where you think you stand at this time in your life, relative to other people in the United States.",workerID,hitID,assignmentId,Present_TimeVehicleStopped,Faded_TimeVehicleStopped
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID113_10""}","{""ImportId"":""QID148_10""}","{""ImportId"":""QID149_10""}","{""ImportId"":""QID150_10""}","{""ImportId"":""QID151_10""}","{""ImportId"":""QID152_10""}","{""ImportId"":""QID153_10""}","{""ImportId"":""QID154_10""}","{""ImportId"":""QID169_1""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID171""}","{""ImportId"":""workerID""}","{""ImportId"":""hitID""}","{""ImportId"":""assignmentId""}","{""ImportId"":""Present_TimeVehicleStopped""}","{""ImportId"":""Faded_TimeVehicleStopped""}"
5/31/24 7:39,5/31/24 7:40,1,100,39,1,5/31/24 7:40,R_6OiYJRTOn2OazM5,preview,EN,1,2,2,,,,,55,58,56,56,44,48,2,4,x,2,6,,11,,,,1.19,
5/31/24 7:40,5/31/24 7:40,1,100,33,1,5/31/24 7:40,R_6Ez4t5ygzM3keJb,preview,EN,1,2,1,61,59,64,54,,,,,45,51,1,4,x,x,6,,10,,,,0.38,
5/31/24 7:40,5/31/24 7:43,1,100,134,1,5/31/24 7:43,R_6ILTGb7kYCevvKc,preview,EN,1,2,2,,,,,58,45,56,56,38,29,2,3,,v,5,,8,,,,0.63,
5/31/24 15:09,5/31/24 15:10,1,100,66,1,5/31/24 15:10,R_3rh7fvtTjhD5zHz,preview,EN,1,2,2,50,50,50,50,,,,,0,0,1,,,0,,,,,,,8.11,
6/5/24 13:25,6/5/24 13:27,1,100,107,1,6/5/24 13:27,R_3GDSgr4v6QTGGLO,preview,EN,1,2,2,,,,,57,61,68,63,2,3,1,,,1,,,,,,,7.87,
6/5/24 13:27,6/5/24 13:28,1,100,58,1,6/5/24 13:28,R_3fdE5kAKr1di5Yu,preview,EN,1,2,2,56,52,53,52,,,,,14,12,1,,,1,,,,,,,17.66,
6/9/24 19:41,6/9/24 19:44,1,100,178,1,6/9/24 19:44,R_2FGJebg2e8WoV57,preview,EN,1,2,2,50,50,50,50,,,,,25,4,1,1,,13,6,,1,,,,17.3,
6/9/24 19:54,6/9/24 19:58,0,100,207,1,6/9/24 19:58,R_7Jft5EQwC2YCglO,anonymous,EN,1,2,2,,,,,19,30,71,0,78,8,1,1,,13,7,,1,,,,17.52,
