StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,attn_1,attn_2,Annotated_Capability_1,Annotated_Trust_1_1,Annotated_Why,Unannotated_Capability_1,Unannotated_Trust_1_1,Unannotat_Why,comp_images,comp_pedestrian,AI_Familiarity_1,Visual_Familiarity_1,gender,gender_5_TEXT,age,education,education_8_TEXT,income
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you consent?,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","In this image, the pedestrian on the right does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian on the right does not intend to cross the road. - 1","Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around the pedestrian on the right in this image. - 1",Please explain your answers to the questions above:,"In this image, the pedestrian on the left does intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian on the left does intend to cross the road. - 1","Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around the pedestrian on the left in this image. - 1",Please explain your answers to the questions above:,"According to what you read, the image showed annotations from software used in...",Which pedestrian were you asked about?,How familiar are you with artificial intelligence? - 1,How familiar are you with explainable AI visual annotations? - 1,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,"Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who have the most money, most education, and most respected jobs. At the bottom are the people who have the least money, least education, and least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top, and the lower you are, the closer you are to the people at the very bottom. 





Where would you place yourself on this ladder? Please select the rung where you think you stand at this time in your life, relative to other people in the United States."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID48""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_8_TEXT""}","{""ImportId"":""QID30""}"
2/9/24 14:49,2/9/24 14:50,0,100,64,1,2/9/24 14:50,R_5jQ2wqn1PgsX4dz,anonymous,EN,1,1,2,48,49,I have no idea whether they want to cross the road or not,,,,1,2,66,45,3,,39,5,,11
2/9/24 14:49,2/9/24 14:50,0,100,91,1,2/9/24 14:50,R_3zk0ruszTxde3p9,anonymous,EN,1,1,2,,,,6,7,"It does not recognize the person, and I do not think it suddenly will, I think this person will be hit.",1,1,56,19,1,,34,3,,11
2/9/24 14:49,2/9/24 14:50,0,100,96,1,2/9/24 14:50,R_5pMQI8O1EGGqtJM,anonymous,EN,1,1,2,,,,88,88,The diagram and image reflects this ability. I think it would be able to detect,1,1,89,13,1,,54,4,,11
2/9/24 14:49,2/9/24 14:50,0,100,97,1,2/9/24 14:50,R_5P6WGMoxQ21DeP1,anonymous,EN,1,1,2,100,100,the person is not moving and has their back to the street,,,,1,2,69,22,1,,63,4,,12
2/9/24 14:49,2/9/24 14:50,0,100,59,1,2/9/24 14:50,R_3In0mYSc72tYJei,anonymous,EN,1,1,2,,,,50,50,It's complicated to me and I don't trust the AI not to make a mistake or malfunction frankly.,1,1,72,24,1,,36,3,,14
2/9/24 14:49,2/9/24 14:51,0,100,104,1,2/9/24 14:51,R_3n2PKhyg8OMtv0l,anonymous,EN,1,1,2,48,38,The pedestrian can change which direction they are facing and their posture at any moment.,,,,1,2,77,59,2,,28,4,,15
2/9/24 14:49,2/9/24 14:51,0,100,111,1,2/9/24 14:51,R_5ELLbnIM9Tvxl3I,anonymous,EN,1,1,2,,,,82,82,"it seems smart enough to detect him. I think it will not make a mistake,",1,1,65,56,1,,42,4,,12
2/9/24 14:49,2/9/24 14:51,0,100,102,1,2/9/24 14:51,R_35R9WCbIjJrHHC0,anonymous,EN,1,1,2,,,,38,31,It doesnt have the person outlined in the picture. ,1,1,79,65,2,,38,3,,12
2/9/24 14:49,2/9/24 14:51,0,100,116,1,2/9/24 14:51,R_3b0DIsz2QTQ4l2v,anonymous,EN,1,1,2,50,50,There isn't really a way to tell since Humans don't behave like machines.,,,,1,2,30,30,1,,41,1,,15
2/9/24 14:49,2/9/24 14:51,0,100,134,1,2/9/24 14:51,R_3EzGkgrJ4n8H35k,anonymous,EN,1,1,2,,,,50,0,"It does not have the pedestrian labeled, but the pedestrian is within the crosswalk that is labeled - so I don't know how it will react.",1,1,60,40,1,,41,3,,14
2/9/24 14:49,2/9/24 14:51,0,100,118,1,2/9/24 14:51,R_61NxhvWPGgSdEZr,anonymous,EN,1,1,2,,,,91,86,it can tell that the person is in the street so can probably tell they will cross,1,1,29,23,2,,36,1,,12
2/9/24 14:49,2/9/24 14:51,0,100,102,1,2/9/24 14:51,R_710yg5rSb90KMIr,anonymous,EN,1,1,2,50,50,The person on the right is noticed by the system but it's not clear how they will treat the person or what they assume about them.,,,,1,2,61,49,4,,36,4,,13
2/9/24 14:49,2/9/24 14:51,0,100,139,1,2/9/24 14:51,R_1Lce6WE1FIC5xYL,anonymous,EN,1,1,2,50,49,"I have no idea if he wants to cross the street.  He could turn around and do just that, I need to be prepared for that.",,,,1,2,24,22,2,,50,4,,9
2/9/24 14:49,2/9/24 14:51,0,100,134,1,2/9/24 14:51,R_3rvpyzEOWovyFyg,anonymous,EN,1,1,2,,,,82,85,"I think it may be able to detect the forward movement the pedestrian is making, he is not in a idle stance.",1,1,76,50,1,,35,4,,11
2/9/24 14:49,2/9/24 14:51,0,100,146,1,2/9/24 14:51,R_65vx1RTIPkLYbqt,anonymous,EN,1,1,2,,,,15,30,The camera does not indicate the human on the left is entering the crosswalk ,1,1,72,50,1,,31,1,,13
2/9/24 14:49,2/9/24 14:51,0,100,151,1,2/9/24 14:51,R_3rvCLdVcCi0H2Qz,anonymous,EN,1,1,2,,,,79,83,I think that the vehicle has the programming to recognize these things,1,1,71,70,2,,59,4,,11
2/9/24 14:49,2/9/24 14:51,0,100,154,1,2/9/24 14:51,R_5Q2rSCZEEjrZ0Wd,anonymous,EN,1,1,2,18,100,"It's marked that the AI sees it, but I don't think the AI can know the person's intent to cross or not to cross just by recognizing that it's human.",,,,1,2,71,30,2,,43,5,,12
2/9/24 14:49,2/9/24 14:51,0,100,163,1,2/9/24 14:51,R_1TvfGCA0gHy30cH,anonymous,EN,1,1,2,,,,9,3,"The person on the left is not highlighted, suggesting that the car does not see this person.",1,1,70,9,1,,48,4,,14
2/9/24 14:49,2/9/24 14:52,0,100,160,1,2/9/24 14:52,R_3JjVNxeVOWvzYPQ,anonymous,EN,1,1,2,,,,24,25,"If the car has already identified so many objects, the pedestrian should already be identified as well.",1,1,64,55,1,,47,4,,14
