"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","consent_q","attn_1","attn_2","Present_Capability_1","Present_Trust_1","Present_Why","Absent_Capability_1","Absent_Trust_1","Absent_Why","Faded_Capability_1","Faded_Trust_1","Faded_Why","Adjacent_Capability_1","Adjacent_Trust_1","Adjacent_Why","comp_images","AI_Familiarity_1","Visual_Familiarity_1","gender","gender_5_TEXT","age","education","education_8_TEXT","income"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Distribution Channel","User Language","Do you consent?","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the pedestrian does not intend to cross the road. 

Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I believe it can detect that the pedestrian does not intend to cross the road. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this autonomous vehicle sees above, I trust that it will behave appropriately around pedestrians like the one in the image. - 1","Please explain your answers to the questions above:","According to what you read, the image showed annotations from software used in...","How familiar are you with artificial intelligence? - 1","How familiar are you with explainable AI visual annotations? - 1","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who have the most money, most education, and most respected jobs. At the bottom are the people who have the least money, least education, and least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top, and the lower you are, the closer you are to the people at the very bottom. 





Where would you place yourself on this ladder? Please select the rung where you think you stand at this time in your life, relative to other people in the United States."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_8_TEXT""}","{""ImportId"":""QID30""}"
"2023-12-15 09:41:36","2023-12-15 09:43:23","0","100","107","1","2023-12-15 09:43:24","R_6cU0tZXyKuCNhTC","anonymous","EN","1","1","2","76","78","The software identified all the objects correctly, so it probably can make good judgments","","","","","","","","","","1","67","51","4","","","","","10"
"2023-12-15 09:42:11","2023-12-15 09:43:26","0","100","74","1","2023-12-15 09:43:26","R_3dZkuxAYA2Qlva4","anonymous","EN","1","1","1","","","","","","","","","","","","","","","","","","","","",""
"2023-12-15 09:41:32","2023-12-15 09:43:29","0","100","116","1","2023-12-15 09:43:29","R_72MyN9hjbqFf8le","anonymous","EN","1","1","2","","","","","","","19","24","I see that it sees the pedestrian but I am unsure that it would understand what the pedestrian is going to do. ","","","","1","36","36","2","","35","4","","10"
"2023-12-15 09:42:14","2023-12-15 09:44:30","0","100","136","1","2023-12-15 09:44:30","R_7PZlxgVCr68LaGB","anonymous","EN","1","1","2","19","12","I don't see any evidence that it can tell which way the pedestrian is facing, or what he intends to do.","","","","","","","","","","1","22","1","2","","38","6","","11"
"2023-12-15 09:43:55","2023-12-15 09:44:39","0","100","43","1","2023-12-15 09:44:40","R_1nUZwvJgPzeiX2r","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","",""
"2023-12-15 09:43:31","2023-12-15 09:44:52","0","100","80","1","2023-12-15 09:44:53","R_7R1rFT7d24aR3Rb","anonymous","EN","1","1","2","","","","58","60","I do not fully trust the system yet. They might detect objects that are not what they are.","","","","","","","1","68","34","2","","31","4","","10"
"2023-12-15 09:44:04","2023-12-15 09:45:08","0","100","64","1","2023-12-15 09:45:09","R_1m7y7wz4hCLCERH","anonymous","EN","1","1","1","","","","","","","","","","","","","","","","","","","","",""
"2023-12-15 09:42:50","2023-12-15 09:45:35","0","100","164","1","2023-12-15 09:45:36","R_1MxMrELsRZDC8jd","anonymous","EN","1","1","2","","","","","","","75","75","The pedestrian is probably not moving. The AI would be able to tell this.","","","","1","100","100","1","","62","5","","10"
